ilkid,year,firstname,lastname,conference,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
HutchMe01 ,1952,Mel,Hutchins,west,N,1,30,2.0,nan,nan,6.0,5.0,nan,nan,nan,nan,8.0,1.0,1.0,0.0,nan,nan
IlgauZy01 ,2002,Zydrunas,Ilgauskas,east,N,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
ImhofDa01 ,1966,Darrall,Imhoff,west,N,1,6,0.0,nan,nan,7.0,1.0,nan,nan,nan,nan,7.0,0.0,0.0,0.0,nan,nan
IsselDa01 ,1976,Dan,Issel,west,N,1,10,0.0,nan,nan,1.0,0.0,nan,nan,nan,nan,3.0,0.0,0.0,0.0,nan,nan
IsselDa01 ,1970,Dan,Issel,east,A,1,34,21.0,5.0,6.0,11.0,0.0,nan,nan,5.0,2.0,15.0,8.0,8.0,5.0,0.0,0.0
IsselDa01 ,1971,Dan,Issel,east,A,1,23,21.0,5.0,4.0,9.0,5.0,nan,nan,2.0,2.0,13.0,9.0,4.0,3.0,0.0,0.0
IsselDa01 ,1972,Dan,Issel,east,A,1,29,14.0,4.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,14.0,6.0,2.0,2.0,0.0,0.0
IsselDa01 ,1973,Dan,Issel,east,A,1,26,21.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,15.0,10.0,1.0,1.0,0.0,0.0
IsselDa01 ,1974,Dan,Issel,east,A,1,20,7.0,5.0,2.0,7.0,1.0,0.0,0.0,2.0,4.0,6.0,3.0,2.0,1.0,0.0,0.0
IsselDa01 ,1975,Dan,Issel,Denver,A,1,31,19.0,nan,nan,9.0,5.0,nan,nan,nan,3.0,16.0,6.0,9.0,7.0,0.0,0.0
IversAl01 ,2003,Allen,Iverson,east,N,1,23,3.0,1.0,0.0,1.0,11.0,0.0,0.0,4.0,3.0,6.0,1.0,4.0,1.0,0.0,0.0
IversAl01 ,2002,Allen,Iverson,east,N,1,41,35.0,2.0,3.0,5.0,7.0,5.0,0.0,6.0,2.0,23.0,13.0,9.0,8.0,3.0,1.0
