player_name,ppg,rpg,apg,outlier_score,outlier_iso,outlier_z,outlier_stat
Quinn Buckner,8.246175243393603,2.7385257301808066,4.331015299026426,3,1,1,1
Don Buse,7.562893081761007,3.3270440251572326,4.732704402515723,3,1,1,1
Don Buse,6.921296296296297,2.325617283950617,4.506172839506172,3,1,1,1
Mack Calvin,19.924953095684803,3.0900562851782363,5.75422138836773,3,1,1,1
Marcus Camby,10.687755102040816,8.60204081632653,1.3979591836734695,3,1,1,1
Elden Campbell,10.339712918660288,5.852631578947369,1.1473684210526316,3,1,1,1
M.l. Carr,12.243243243243244,6.202702702702703,3.027027027027027,3,1,1,1
Joe Barry Carroll,17.666666666666668,7.665248226950355,1.7929078014184396,3,1,1,1
Vince Carter,23.889130434782608,5.273913043478261,3.9543478260869565,3,1,1,1
Bill Cartwright,13.201453790238837,6.3406022845275185,1.4434060228452752,2,0,1,1
Sam Cassell,16.159600997506235,3.2805486284289276,6.1895261845386536,3,1,1,1
Harvey Catchings,3.220689655172414,5.019310344827586,0.8386206896551724,3,1,1,1
Kelvin Cato,5.725806451612903,5.590725806451613,0.4838709677419355,2,0,1,1
Duane Causwell,4.894639556377079,4.2014787430683915,0.4491682070240296,2,0,1,1
Tom Chambers,18.11111111111111,6.055103884372177,2.062330623306233,3,1,1,1
Wilt Chamberlain,30.06602870813397,22.89377990430622,4.443062200956938,3,1,1,1
Tyson Chandler,7.586206896551724,7.287356321839081,0.8352490421455939,2,0,1,1
Maurice Cheeks,11.076294277929156,2.8047229791099,6.713896457765667,3,1,1,1
Doug Christie,11.392373923739237,4.130381303813038,3.6531365313653135,3,1,1,1
Keon Clark,8.164305949008499,5.937677053824363,0.9121813031161473,2,0,1,1
Derrick Coleman,16.496798975672217,9.259923175416134,2.541613316261204,3,1,1,1
Darwin Cook,9.509803921568627,2.1372549019607843,3.673202614379085,3,1,1,1
Wayne Cooper,7.903455284552845,6.194105691056911,0.8658536585365854,3,1,1,1
Bob Cousy,18.354978354978353,5.17965367965368,7.5270562770562774,3,1,1,1
Dave Cowens,17.64490861618799,13.634464751958225,3.7989556135770237,3,1,1,1
Terry Cummings,16.449704142011836,7.295012679628064,1.8512256973795436,3,1,1,1
